Student,Date,Day,Hour,Traffic_Level,Predicted_FreeSpot_%
Student 1214,2025-08-16,Saturday,9:30,Low,87.18
Student 1215,2025-02-16,Sunday,15:30,Low,93.94
Student 1216,2025-07-24,Thursday,12:15,Low,79.28
Student 1217,2025-09-22,Monday,8:00,Low,76.03
Student 1218,2025-12-19,Friday,8:00,Low,93.06
Student 1219,2025-02-01,Saturday,11:30,Low,88.05
Student 1220,2025-05-06,Tuesday,15:00,Low,86.53
Student 1221,2025-07-25,Friday,13:30,Low,72.64
Student 1222,2025-11-19,Wednesday,13:00,Low,88.48
Student 1223,2025-09-13,Saturday,17:15,Low,84.27
Student 1224,2025-04-15,Tuesday,8:45,High,39.13
Student 1225,2025-10-20,Monday,17:00,Low,76.27
Student 1226,2025-10-11,Saturday,17:30,Low,98.04
Student 1227,2025-11-18,Tuesday,17:00,Low,72.67
Student 1228,2025-09-26,Friday,14:15,Low,93.41
Student 1229,2025-08-02,Saturday,16:45,Low,80.44
Student 1230,2025-06-25,Wednesday,8:00,Medium,58.01
Student 1231,2025-10-24,Friday,14:30,Low,86.63
Student 1232,2025-09-12,Friday,13:15,Low,94.49
Student 1233,2025-08-28,Thursday,14:00,Low,87.47
Student 1234,2025-08-27,Wednesday,9:30,Low,83.57
Student 1235,2025-11-28,Friday,11:30,Low,91.93
Student 1236,2025-08-24,Sunday,14:45,Low,78.72
Student 1237,2025-11-09,Sunday,15:45,Low,91.88
Student 1238,2025-01-05,Sunday,10:00,Low,96.1
Student 1239,2025-03-07,Friday,16:45,Low,86.18
Student 1240,2025-11-29,Saturday,12:45,Low,96.98
Student 1241,2025-12-13,Saturday,18:45,Low,82.61
Student 1242,2025-11-09,Sunday,15:30,Low,93.42
Student 1243,2025-06-22,Sunday,11:00,Medium,66.6
Student 1244,2025-09-20,Saturday,11:45,Low,96.65
Student 1245,2025-03-15,Saturday,12:30,Low,98.14
Student 1246,2025-06-16,Monday,13:30,Low,72.36
Student 1247,2025-05-19,Monday,16:00,Low,90.58
Student 1248,2025-08-02,Saturday,17:30,Low,81.16
Student 1249,2025-05-10,Saturday,13:15,Low,80.88
Student 1250,2025-03-03,Monday,10:45,Medium,55.04
Student 1251,2025-10-06,Monday,18:45,Low,96.87
Student 1252,2025-03-24,Monday,8:00,Medium,47.42
Student 1253,2025-07-23,Wednesday,13:15,Low,83.99
Student 1254,2025-12-16,Tuesday,11:30,High,29.4
Student 1255,2025-09-19,Friday,9:45,Low,70.68
Student 1256,2025-02-14,Friday,13:00,Low,73.36
Student 1257,2025-05-31,Saturday,15:45,Low,85.99
Student 1258,2025-09-08,Monday,9:00,High,35.94
Student 1259,2025-05-20,Tuesday,10:00,Low,87.54
Student 1260,2025-01-16,Thursday,12:00,Low,96.83
Student 1261,2025-08-20,Wednesday,13:00,Low,91.9
Student 1262,2025-07-20,Sunday,8:00,Low,80.63
Student 1263,2025-05-01,Thursday,16:15,Low,71.82
Student 1264,2025-01-23,Thursday,16:00,Low,70.56
Student 1265,2025-06-12,Thursday,11:30,Medium,45.22
Student 1266,2025-05-01,Thursday,9:30,Low,75.56
Student 1267,2025-09-22,Monday,14:30,Low,81.26
Student 1268,2025-01-26,Sunday,15:15,Low,81.97
Student 1269,2025-09-12,Friday,18:30,Low,97.62
Student 1270,2025-06-04,Wednesday,17:45,Low,88.12
Student 1271,2025-08-12,Tuesday,9:00,Low,95.61
Student 1272,2025-06-18,Wednesday,10:00,High,12.45
Student 1273,2025-09-20,Saturday,10:00,Low,98.35
Student 1274,2025-06-11,Wednesday,16:00,Low,86.31
Student 1275,2025-07-01,Tuesday,13:45,Low,71.4
Student 1276,2025-04-28,Monday,10:00,High,27.45
Student 1277,2025-11-26,Wednesday,9:00,High,27.95
Student 1278,2025-08-16,Saturday,10:30,Low,80.7
Student 1279,2025-04-27,Sunday,16:00,Low,85.22
Student 1280,2025-12-28,Sunday,18:00,Low,94.24
Student 1281,2025-10-07,Tuesday,13:00,Medium,60.66
Student 1282,2025-07-29,Tuesday,16:00,Low,82.54
Student 1283,2025-04-29,Tuesday,14:00,Low,86.26
Student 1284,2025-04-25,Friday,15:00,Low,99.23
Student 1285,2025-12-22,Monday,9:00,Low,73.72
Student 1286,2025-09-07,Sunday,14:30,Low,85.8
Student 1287,2025-07-01,Tuesday,17:15,Low,92.04
Student 1288,2025-01-03,Friday,8:30,Low,73.35
Student 1289,2025-02-14,Friday,9:30,Low,91.11
Student 1290,2025-11-01,Saturday,14:15,Low,91.01
Student 1291,2025-08-06,Wednesday,17:30,Low,71.97
Student 1292,2025-05-18,Sunday,17:45,Low,94.27
Student 1293,2025-12-10,Wednesday,13:00,Low,75.81
Student 1294,2025-10-08,Wednesday,10:45,Medium,69.08
Student 1295,2025-02-02,Sunday,10:45,High,31.4
Student 1296,2025-07-25,Friday,16:45,Low,70.68
Student 1297,2025-01-29,Wednesday,16:15,Low,81.7
Student 1298,2025-02-26,Wednesday,15:00,Low,93.25
Student 1299,2025-11-24,Monday,15:45,Low,81.33
Student 1300,2025-11-29,Saturday,14:00,Low,82.78
Student 1301,2025-02-04,Tuesday,10:00,High,34.29
Student 1302,2025-08-25,Monday,18:15,Low,90.53
Student 1303,2025-11-03,Monday,14:15,Low,86.16
Student 1304,2025-11-05,Wednesday,16:00,Low,84.08
Student 1305,2025-06-10,Tuesday,9:00,High,30.0
Student 1306,2025-02-09,Sunday,14:45,Low,70.15
Student 1307,2025-09-06,Saturday,9:30,Low,75.86
Student 1308,2025-02-09,Sunday,12:00,High,18.38
Student 1309,2025-09-28,Sunday,11:15,Low,93.6
Student 1310,2025-01-23,Thursday,12:45,Low,94.3
Student 1311,2025-01-12,Sunday,18:15,Low,78.49
Student 1312,2025-12-13,Saturday,15:30,Low,91.63
Student 1313,2025-02-26,Wednesday,15:15,Low,75.07
Student 1314,2025-11-28,Friday,9:30,Low,95.98
Student 1315,2025-08-12,Tuesday,11:00,Low,76.42
Student 1316,2025-09-15,Monday,18:30,Low,85.27
Student 1317,2025-06-22,Sunday,12:15,Medium,69.14
Student 1318,2025-11-06,Thursday,9:00,Low,91.75
Student 1319,2025-03-31,Monday,8:00,Medium,45.9
Student 1320,2025-12-08,Monday,15:45,Low,78.45
Student 1321,2025-07-03,Thursday,12:30,Low,97.39
Student 1322,2025-07-12,Saturday,8:00,Low,97.97
Student 1323,2025-02-22,Saturday,12:45,Low,88.48
Student 1324,2025-05-31,Saturday,12:30,Low,74.16
Student 1325,2025-03-16,Sunday,9:15,Medium,54.99
Student 1326,2025-03-12,Wednesday,12:00,Medium,55.85
Student 1327,2025-12-23,Tuesday,15:15,Low,93.95
Student 1328,2025-01-12,Sunday,12:00,Low,87.44
Student 1329,2025-06-28,Saturday,15:45,Low,73.14
Student 1330,2025-01-06,Monday,11:30,Low,91.98
Student 1331,2025-03-22,Saturday,16:30,Low,91.22
Student 1332,2025-10-16,Thursday,11:15,Medium,47.84
Student 1333,2025-08-26,Tuesday,10:15,Low,77.32
Student 1334,2025-04-10,Thursday,12:00,Medium,67.49
Student 1335,2025-01-16,Thursday,13:15,Low,92.94
Student 1336,2025-12-14,Sunday,10:45,High,16.51
Student 1337,2025-04-08,Tuesday,10:45,High,30.42
Student 1338,2025-10-06,Monday,15:00,Low,80.84
Student 1339,2025-05-11,Sunday,9:15,Low,90.81
Student 1340,2025-12-03,Wednesday,8:30,High,29.61
Student 1341,2025-03-10,Monday,12:30,Medium,63.82
Student 1342,2025-06-16,Monday,14:00,Low,87.41
Student 1343,2025-03-03,Monday,13:00,Medium,52.14
Student 1344,2025-08-20,Wednesday,15:00,Low,93.59
Student 1345,2025-09-12,Friday,16:00,Low,99.36
Student 1346,2025-12-31,Wednesday,14:30,Low,88.83
Student 1347,2025-11-27,Thursday,11:15,Medium,64.53
Student 1348,2025-04-17,Thursday,13:45,Medium,62.16
Student 1349,2025-01-27,Monday,13:45,Low,94.3
Student 1350,2025-11-14,Friday,16:30,Low,91.0
Student 1351,2025-08-31,Sunday,12:15,Low,86.76
Student 1352,2025-10-07,Tuesday,11:15,Medium,66.23
Student 1353,2025-03-29,Saturday,12:00,Low,71.47
Student 1354,2025-03-21,Friday,18:30,Low,97.04
Student 1355,2025-02-13,Thursday,18:15,Low,89.18
Student 1356,2025-12-13,Saturday,17:00,Low,86.81
Student 1357,2025-01-21,Tuesday,8:45,Low,87.97
Student 1358,2025-11-18,Tuesday,11:30,High,19.03
Student 1359,2025-01-26,Sunday,8:30,Low,91.84
Student 1360,2025-08-18,Monday,13:30,Low,71.22
Student 1361,2025-09-01,Monday,14:00,Low,98.88
Student 1362,2025-10-04,Saturday,11:15,Low,94.8
Student 1363,2025-12-26,Friday,16:15,Low,91.7
Student 1364,2025-05-16,Friday,18:45,Low,96.48
Student 1365,2025-12-04,Thursday,16:45,Low,73.39
Student 1366,2025-10-27,Monday,13:00,Medium,59.73
Student 1367,2025-09-21,Sunday,18:30,Low,77.27
Student 1368,2025-11-13,Thursday,11:00,Medium,57.1
Student 1369,2025-11-15,Saturday,16:00,Low,96.48
Student 1370,2025-01-11,Saturday,8:15,Low,82.95
Student 1371,2025-03-28,Friday,16:45,Low,78.5
Student 1372,2025-01-11,Saturday,17:45,Low,87.97
Student 1373,2025-09-19,Friday,13:00,Low,89.45
Student 1374,2025-01-14,Tuesday,18:45,Low,88.41
Student 1375,2025-03-24,Monday,14:15,Medium,49.64
Student 1376,2025-05-23,Friday,8:15,Low,97.17
Student 1377,2025-12-24,Wednesday,17:15,Low,87.38
Student 1378,2025-09-20,Saturday,14:00,Low,84.5
Student 1379,2025-01-13,Monday,17:00,Low,95.62
Student 1380,2025-05-28,Wednesday,10:45,Low,76.13
Student 1381,2025-09-10,Wednesday,11:15,High,25.12
Student 1382,2025-10-26,Sunday,16:00,Low,71.43
Student 1383,2025-09-13,Saturday,14:15,Low,76.73
Student 1384,2025-11-08,Saturday,14:45,Low,80.02
Student 1385,2025-02-19,Wednesday,14:15,Low,91.38
Student 1386,2025-08-26,Tuesday,13:45,Low,83.09
Student 1387,2025-01-25,Saturday,18:30,Low,81.22
Student 1388,2025-10-01,Wednesday,9:45,Medium,68.75
Student 1389,2025-04-16,Wednesday,18:45,Low,97.62
Student 1390,2025-05-15,Thursday,16:45,Low,74.45
Student 1391,2025-07-22,Tuesday,15:15,Low,96.04
Student 1392,2025-12-22,Monday,17:45,Low,79.61
Student 1393,2025-02-23,Sunday,16:45,Low,98.9
Student 1394,2025-01-09,Thursday,9:30,Low,85.6
Student 1395,2025-05-14,Wednesday,13:15,Low,97.92
Student 1396,2025-01-01,Wednesday,14:45,Low,71.76
Student 1397,2025-07-04,Friday,12:45,Low,78.2
Student 1398,2025-01-19,Sunday,18:00,Low,96.75
Student 1399,2025-06-08,Sunday,17:15,Low,88.21
Student 1400,2025-09-20,Saturday,17:45,Low,71.55
Student 1401,2025-10-21,Tuesday,13:00,Medium,67.87
Student 1402,2025-01-02,Thursday,12:30,Low,82.3
Student 1403,2025-12-02,Tuesday,13:15,Low,78.62
Student 1404,2025-09-11,Thursday,9:15,Low,94.31
Student 1405,2025-05-15,Thursday,8:45,Low,82.58
Student 1406,2025-08-27,Wednesday,14:45,Low,91.65
Student 1407,2025-07-01,Tuesday,18:45,Low,97.68
Student 1408,2025-06-07,Saturday,9:30,Low,75.31
Student 1409,2025-11-08,Saturday,12:30,Low,70.6
Student 1410,2025-11-10,Monday,12:15,High,14.07
Student 1411,2025-09-01,Monday,17:15,Low,82.65
Student 1412,2025-01-12,Sunday,15:15,Low,73.33
Student 1413,2025-01-04,Saturday,15:00,Low,94.12
Student 1414,2025-10-31,Friday,13:45,Low,97.18
Student 1415,2025-11-01,Saturday,9:30,Low,79.53
Student 1416,2025-06-04,Wednesday,15:30,Low,85.48
Student 1417,2025-06-12,Thursday,16:15,Low,81.98
Student 1418,2025-02-27,Thursday,12:45,Medium,61.62
Student 1419,2025-01-15,Wednesday,11:45,Low,71.89
Student 1420,2025-01-07,Tuesday,17:00,Low,85.46
Student 1421,2025-12-19,Friday,10:45,Low,76.52
Student 1422,2025-04-23,Wednesday,15:15,Low,78.17
Student 1423,2025-12-30,Tuesday,11:00,Low,81.3
Student 1424,2025-04-29,Tuesday,12:30,High,12.62
Student 1425,2025-12-10,Wednesday,16:45,Low,73.05
Student 1426,2025-04-05,Saturday,13:00,Low,98.87
Student 1427,2025-03-28,Friday,18:00,Low,73.5
Student 1428,2025-05-31,Saturday,11:15,Low,74.6
Student 1429,2025-09-02,Tuesday,16:00,Low,91.69
Student 1430,2025-06-09,Monday,18:45,Low,83.04
Student 1431,2025-11-30,Sunday,16:15,Low,75.56
Student 1432,2025-03-22,Saturday,10:00,Low,80.65
Student 1433,2025-10-07,Tuesday,14:30,Medium,54.39
Student 1434,2025-02-10,Monday,14:15,Low,75.06
Student 1435,2025-12-26,Friday,15:45,Low,81.25
Student 1436,2025-10-04,Saturday,12:30,Low,85.2
Student 1437,2025-03-23,Sunday,11:15,Medium,41.93
Student 1438,2025-04-10,Thursday,8:45,Low,92.84
Student 1439,2025-03-03,Monday,10:00,Medium,40.51
Student 1440,2025-11-06,Thursday,17:15,Low,80.21
Student 1441,2025-01-09,Thursday,13:15,Low,80.92
Student 1442,2025-07-26,Saturday,13:00,Low,96.51
Student 1443,2025-07-07,Monday,13:15,Low,75.2
Student 1444,2025-11-14,Friday,14:00,Low,98.15
Student 1445,2025-06-25,Wednesday,9:00,Medium,62.47
Student 1446,2025-12-14,Sunday,12:00,High,14.5
Student 1447,2025-05-09,Friday,17:45,Low,95.08
Student 1448,2025-06-17,Tuesday,11:30,High,16.61
Student 1449,2025-06-21,Saturday,17:00,Low,94.66
Student 1450,2025-12-23,Tuesday,8:15,Low,90.55
Student 1451,2025-06-27,Friday,10:30,Low,76.14
Student 1452,2025-11-13,Thursday,8:15,Low,92.18
Student 1453,2025-06-04,Wednesday,14:30,Low,70.22
Student 1454,2025-02-17,Monday,15:30,Low,91.09
Student 1455,2025-04-19,Saturday,11:30,Low,86.32
Student 1456,2025-08-24,Sunday,13:00,Low,70.34
Student 1457,2025-04-17,Thursday,13:30,Medium,50.44
Student 1458,2025-03-28,Friday,13:45,Low,98.54
Student 1459,2025-03-21,Friday,14:15,Low,87.0
Student 1460,2025-06-20,Friday,14:45,Low,90.03
Student 1461,2025-09-29,Monday,18:45,Low,83.97
Student 1462,2025-12-04,Thursday,13:30,Medium,57.22
Student 1463,2025-07-15,Tuesday,13:00,Low,86.43
Student 1464,2025-12-11,Thursday,17:45,Low,84.13
Student 1465,2025-08-14,Thursday,13:00,Low,83.56
Student 1466,2025-07-14,Monday,13:00,Low,90.21
Student 1467,2025-09-16,Tuesday,11:45,High,20.28
Student 1468,2025-07-03,Thursday,9:45,Low,83.92
Student 1469,2025-05-02,Friday,14:00,Low,96.73
Student 1470,2025-09-18,Thursday,16:00,Low,98.19
Student 1471,2025-07-20,Sunday,15:30,Low,71.71
Student 1472,2025-01-12,Sunday,9:45,Low,77.15
Student 1473,2025-01-13,Monday,8:15,Low,94.65
Student 1474,2025-11-12,Wednesday,15:45,Low,89.0
Student 1475,2025-02-15,Saturday,14:45,Low,83.36
Student 1476,2025-05-31,Saturday,16:30,Low,99.13
Student 1477,2025-08-06,Wednesday,10:30,Low,77.83
Student 1478,2025-11-06,Thursday,10:30,Low,99.58
Student 1479,2025-12-10,Wednesday,10:15,High,29.93
Student 1480,2025-10-28,Tuesday,10:45,Medium,46.08
Student 1481,2025-04-26,Saturday,10:15,Low,71.79
Student 1482,2025-12-24,Wednesday,10:00,Low,97.56
Student 1483,2025-07-20,Sunday,11:45,Low,97.19
Student 1484,2025-11-08,Saturday,8:00,Low,88.44
Student 1485,2025-05-14,Wednesday,16:45,Low,85.99
Student 1486,2025-05-21,Wednesday,18:45,Low,90.12
Student 1487,2025-08-18,Monday,8:30,Low,88.75
Student 1488,2025-01-05,Sunday,10:15,Low,96.68
Student 1489,2025-07-06,Sunday,14:45,Low,74.58
Student 1490,2025-04-26,Saturday,9:15,Low,73.47
Student 1491,2025-05-27,Tuesday,14:00,Low,73.74
Student 1492,2025-04-19,Saturday,14:45,Low,94.3
Student 1493,2025-06-05,Thursday,13:15,Medium,58.7
Student 1494,2025-07-04,Friday,14:45,Low,86.85
Student 1495,2025-05-18,Sunday,8:45,Low,85.92
Student 1496,2025-02-09,Sunday,14:30,Low,87.0
Student 1497,2025-03-13,Thursday,16:45,Low,77.55
Student 1498,2025-10-25,Saturday,12:45,Low,91.05
Student 1499,2025-04-09,Wednesday,11:00,High,23.02
Student 1500,2025-03-14,Friday,10:00,Low,75.24
Student 1501,2025-07-06,Sunday,16:30,Low,94.28
Student 1502,2025-03-16,Sunday,10:45,Medium,54.39
Student 1503,2025-08-13,Wednesday,18:00,Low,93.45
Student 1504,2025-12-08,Monday,9:00,High,26.48
Student 1505,2025-12-12,Friday,15:45,Low,73.46
Student 1506,2025-02-27,Thursday,12:15,Medium,51.19
Student 1507,2025-10-27,Monday,15:00,Low,77.37
Student 1508,2025-02-19,Wednesday,13:30,Low,82.9
Student 1509,2025-07-25,Friday,14:00,Low,84.34
Student 1510,2025-10-18,Saturday,9:30,Low,71.26
Student 1511,2025-01-25,Saturday,18:30,Low,76.06
Student 1512,2025-07-12,Saturday,17:30,Low,98.27
Student 1513,2025-05-07,Wednesday,13:45,Low,71.94
Student 1514,2025-11-11,Tuesday,18:45,Low,91.22
Student 1515,2025-06-30,Monday,15:15,Low,99.64
Student 1516,2025-10-27,Monday,10:30,Medium,64.64
Student 1517,2025-05-04,Sunday,14:00,Low,86.21
Student 1518,2025-11-26,Wednesday,10:30,High,37.77
Student 1519,2025-10-18,Saturday,10:30,Low,84.09
Student 1520,2025-01-20,Monday,12:45,Low,71.74
Student 1521,2025-02-28,Friday,12:00,Low,80.41
Student 1522,2025-08-07,Thursday,17:15,Low,98.92
Student 1523,2025-03-12,Wednesday,11:15,Medium,68.92
Student 1524,2025-04-19,Saturday,9:00,Low,83.54
Student 1525,2025-07-31,Thursday,8:30,Low,70.05
Student 1526,2025-12-22,Monday,14:00,Low,80.49
Student 1527,2025-03-09,Sunday,9:15,Medium,56.01
Student 1528,2025-12-18,Thursday,18:45,Low,89.68
Student 1529,2025-10-23,Thursday,14:00,Medium,45.89
Student 1530,2025-12-29,Monday,18:30,Low,82.96
Student 1531,2025-10-11,Saturday,11:15,Low,94.47
Student 1532,2025-06-04,Wednesday,17:45,Low,79.61
Student 1533,2025-06-04,Wednesday,12:30,High,10.79
Student 1534,2025-01-18,Saturday,12:45,Low,77.58
Student 1535,2025-03-23,Sunday,16:15,Low,96.96
Student 1536,2025-09-06,Saturday,9:15,Low,93.27
Student 1537,2025-11-13,Thursday,14:45,Low,88.31
Student 1538,2025-03-25,Tuesday,16:15,Low,92.39
Student 1539,2025-10-02,Thursday,12:15,Medium,55.93
Student 1540,2025-01-21,Tuesday,10:00,Low,89.69
Student 1541,2025-06-29,Sunday,18:15,Low,96.28
Student 1542,2025-11-11,Tuesday,16:15,Low,82.61
Student 1543,2025-10-31,Friday,11:30,Low,74.6
Student 1544,2025-09-14,Sunday,16:00,Low,74.04
Student 1545,2025-03-10,Monday,10:45,Medium,67.41
Student 1546,2025-01-15,Wednesday,10:00,Low,98.95
Student 1547,2025-05-16,Friday,14:30,Low,97.02
Student 1548,2025-03-30,Sunday,14:45,Medium,49.8
Student 1549,2025-08-19,Tuesday,15:45,Low,96.56
Student 1550,2025-03-04,Tuesday,8:00,Medium,68.86
Student 1551,2025-08-20,Wednesday,13:45,Low,87.77
Student 1552,2025-02-05,Wednesday,8:45,High,24.83
Student 1553,2025-06-15,Sunday,13:45,Low,87.65
Student 1554,2025-03-10,Monday,16:45,Low,72.34
Student 1555,2025-07-20,Sunday,16:45,Low,90.14
Student 1556,2025-09-12,Friday,8:15,Low,77.43
Student 1557,2025-12-01,Monday,9:15,High,10.7
Student 1558,2025-12-05,Friday,18:45,Low,95.19
Student 1559,2025-03-24,Monday,12:45,Medium,46.65
Student 1560,2025-06-10,Tuesday,16:15,Low,89.87
Student 1561,2025-09-26,Friday,15:15,Low,95.92
Student 1562,2025-07-18,Friday,16:15,Low,80.77
Student 1563,2025-02-03,Monday,12:00,High,37.78
Student 1564,2025-08-31,Sunday,10:30,Low,78.04
Student 1565,2025-04-08,Tuesday,11:15,High,14.15
Student 1566,2025-03-04,Tuesday,14:45,Medium,59.1
Student 1567,2025-07-01,Tuesday,12:45,Low,74.33
Student 1568,2025-02-26,Wednesday,11:00,Low,71.0
Student 1569,2025-10-30,Thursday,9:30,Medium,57.52
Student 1570,2025-09-30,Tuesday,9:30,Low,87.44
Student 1571,2025-08-04,Monday,11:45,Low,82.76
Student 1572,2025-03-27,Thursday,11:15,Medium,47.78
Student 1573,2025-10-16,Thursday,16:15,Low,72.3
Student 1574,2025-09-27,Saturday,9:15,Low,79.17
Student 1575,2025-03-30,Sunday,16:30,Low,87.34
Student 1576,2025-02-24,Monday,14:30,Low,90.0
Student 1577,2025-12-12,Friday,15:45,Low,71.34
Student 1578,2025-07-11,Friday,13:00,Low,78.02
Student 1579,2025-12-07,Sunday,13:00,Low,98.99
Student 1580,2025-01-31,Friday,18:15,Low,96.69
Student 1581,2025-05-21,Wednesday,17:00,Low,78.48
Student 1582,2025-03-16,Sunday,15:30,Low,75.24
Student 1583,2025-10-03,Friday,15:15,Low,92.55
Student 1584,2025-09-24,Wednesday,10:30,Low,82.97
Student 1585,2025-07-14,Monday,18:15,Low,86.83
Student 1586,2025-11-21,Friday,10:45,Low,70.54
Student 1587,2025-01-31,Friday,8:45,Low,75.07
Student 1588,2025-03-27,Thursday,18:45,Low,95.47
Student 1589,2025-02-08,Saturday,18:15,Low,77.1
Student 1590,2025-02-05,Wednesday,17:15,Low,89.46
Student 1591,2025-12-31,Wednesday,9:45,Low,79.92
Student 1592,2025-10-17,Friday,11:30,Low,80.66
Student 1593,2025-06-22,Sunday,18:45,Low,72.06
Student 1594,2025-02-15,Saturday,17:15,Low,92.46
Student 1595,2025-08-18,Monday,17:45,Low,74.74
Student 1596,2025-11-06,Thursday,13:00,Medium,69.56
Student 1597,2025-05-06,Tuesday,14:15,Low,74.13
Student 1598,2025-10-23,Thursday,10:00,Medium,52.56
Student 1599,2025-08-29,Friday,11:45,Low,97.31
Student 1600,2025-02-04,Tuesday,8:00,High,32.98
Student 1601,2025-01-28,Tuesday,11:00,Low,96.99
Student 1602,2025-03-13,Thursday,10:45,Medium,64.53
Student 1603,2025-08-12,Tuesday,18:00,Low,82.24
Student 1604,2025-07-18,Friday,12:15,Low,83.95
Student 1605,2025-02-06,Thursday,10:15,Low,77.57
Student 1606,2025-02-03,Monday,13:00,Low,84.27
Student 1607,2025-09-14,Sunday,13:30,Low,93.21
Student 1608,2025-04-09,Wednesday,14:00,Low,88.8
Student 1609,2025-08-13,Wednesday,18:15,Low,88.09
Student 1610,2025-08-24,Sunday,16:30,Low,92.91
Student 1611,2025-06-18,Wednesday,8:45,High,21.51
Student 1612,2025-01-22,Wednesday,12:00,Low,72.71
Student 1613,2025-06-02,Monday,18:00,Low,72.17
Student 1614,2025-02-11,Tuesday,8:00,High,14.11
Student 1615,2025-05-26,Monday,8:30,Low,84.67
Student 1616,2025-08-05,Tuesday,12:45,Low,82.33
Student 1617,2025-12-26,Friday,13:45,Low,70.78
Student 1618,2025-02-03,Monday,13:15,Low,76.71
Student 1619,2025-12-30,Tuesday,8:45,Low,78.58
Student 1620,2025-08-06,Wednesday,14:15,Low,81.02
Student 1621,2025-07-12,Saturday,17:30,Low,82.8
Student 1622,2025-11-06,Thursday,8:30,Low,79.25
Student 1623,2025-10-28,Tuesday,15:00,Low,82.82
Student 1624,2025-02-16,Sunday,16:30,Low,76.59
Student 1625,2025-08-17,Sunday,15:30,Low,81.1
Student 1626,2025-04-16,Wednesday,9:15,High,37.16
Student 1627,2025-11-11,Tuesday,18:00,Low,93.92
Student 1628,2025-04-16,Wednesday,11:30,High,14.93
Student 1629,2025-08-25,Monday,14:30,Low,72.46
Student 1630,2025-10-20,Monday,9:00,Medium,42.29
Student 1631,2025-04-19,Saturday,16:45,Low,71.05
Student 1632,2025-04-09,Wednesday,10:15,High,10.28
Student 1633,2025-06-30,Monday,17:30,Low,95.91
Student 1634,2025-07-11,Friday,15:45,Low,78.31
Student 1635,2025-10-28,Tuesday,12:30,Medium,59.34
Student 1636,2025-12-24,Wednesday,8:00,Low,94.44
Student 1637,2025-05-09,Friday,18:15,Low,99.88
Student 1638,2025-03-14,Friday,13:45,Low,98.65
Student 1639,2025-06-22,Sunday,10:00,Medium,58.03
Student 1640,2025-07-16,Wednesday,10:15,Low,98.52
Student 1641,2025-06-25,Wednesday,12:15,Medium,60.23
Student 1642,2025-04-05,Saturday,13:45,Low,92.63
Student 1643,2025-09-08,Monday,9:45,High,23.6
Student 1644,2025-09-05,Friday,11:45,Low,84.17
Student 1645,2025-07-27,Sunday,12:15,Low,88.3
Student 1646,2025-03-03,Monday,9:00,Medium,49.25
Student 1647,2025-03-05,Wednesday,15:45,Low,97.23
Student 1648,2025-01-05,Sunday,16:00,Low,79.56
Student 1649,2025-03-21,Friday,13:15,Low,77.29
Student 1650,2025-02-08,Saturday,16:15,Low,83.26
Student 1651,2025-06-06,Friday,13:00,Low,99.39
Student 1652,2025-10-23,Thursday,14:15,Medium,50.68
Student 1653,2025-01-05,Sunday,10:45,Low,73.36
Student 1654,2025-05-28,Wednesday,13:00,Low,88.72
Student 1655,2025-07-09,Wednesday,9:15,Low,89.2
Student 1656,2025-05-28,Wednesday,16:30,Low,72.15
Student 1657,2025-02-14,Friday,12:00,Low,85.32
Student 1658,2025-11-21,Friday,11:00,Low,76.71
Student 1659,2025-08-16,Saturday,9:45,Low,87.86
Student 1660,2025-04-29,Tuesday,15:00,Low,88.13
Student 1661,2025-03-07,Friday,15:00,Low,75.77
Student 1662,2025-04-30,Wednesday,8:15,High,39.58
Student 1663,2025-01-02,Thursday,18:30,Low,87.54
Student 1664,2025-06-29,Sunday,8:00,Medium,54.67
Student 1665,2025-12-20,Saturday,15:00,Low,74.08
Student 1666,2025-02-20,Thursday,13:00,Medium,60.22
Student 1667,2025-06-23,Monday,8:45,Medium,51.93
Student 1668,2025-02-02,Sunday,8:45,High,39.15
Student 1669,2025-03-22,Saturday,8:45,Low,96.65
Student 1670,2025-01-25,Saturday,13:15,Low,76.23
Student 1671,2025-09-20,Saturday,9:00,Low,93.6
Student 1672,2025-07-13,Sunday,11:30,Low,73.81
Student 1673,2025-02-12,Wednesday,8:30,High,16.45
Student 1674,2025-01-08,Wednesday,11:15,Low,85.3
Student 1675,2025-08-18,Monday,10:45,Low,77.51
Student 1676,2025-07-24,Thursday,17:00,Low,91.31
Student 1677,2025-06-22,Sunday,11:00,Medium,56.43
Student 1678,2025-10-15,Wednesday,8:15,Medium,47.15
Student 1679,2025-01-03,Friday,13:45,Low,81.79
Student 1680,2025-02-06,Thursday,16:00,Low,97.95
Student 1681,2025-02-09,Sunday,10:45,High,35.58
Student 1682,2025-06-15,Sunday,13:15,Low,79.93
Student 1683,2025-04-20,Sunday,8:15,High,18.98
Student 1684,2025-08-20,Wednesday,9:00,Low,93.62
Student 1685,2025-12-13,Saturday,15:45,Low,94.75
Student 1686,2025-06-20,Friday,11:45,Low,73.97
Student 1687,2025-02-21,Friday,17:15,Low,89.72
Student 1688,2025-02-08,Saturday,15:15,Low,85.44
Student 1689,2025-08-23,Saturday,10:15,Low,98.53
Student 1690,2025-08-18,Monday,13:15,Low,84.1
Student 1691,2025-01-27,Monday,9:00,Low,86.16
Student 1692,2025-10-02,Thursday,10:00,Medium,60.76
Student 1693,2025-02-28,Friday,9:30,Low,71.56
